a0 20
a8 20 308
aa 61
af 20 304
b2 32
b3 33
b4 20 301
b5 3bc
b8 20 327
b9 31
ba 6f
bc 31 34 2044
bd 31 32 2044
be 33 34 2044
c0 41 300
c1 41 301
c2 41 302
c3 41 303
c4 41 308
c5 41 30a
c7 43 327
c8 45 300
c9 45 301
ca 45 302
cb 45 308
cc 49 300
cd 49 301
ce 49 302
cf 49 308
d1 4e 303
d2 4f 300
d3 4f 301
d4 4f 302
d5 4f 303
d6 4f 308
d9 55 300
da 55 301
db 55 302
dc 55 308
dd 59 301
e0 61 300
e1 61 301
e2 61 302
e3 61 303
e4 61 308
e5 61 30a
e7 63 327
e8 65 300
e9 65 301
ea 65 302
eb 65 308
ec 69 300
ed 69 301
ee 69 302
ef 69 308
f1 6e 303
f2 6f 300
f3 6f 301
f4 6f 302
f5 6f 303
f6 6f 308
f9 75 300
fa 75 301
fb 75 302
fc 75 308
fd 79 301
ff 79 308
100 41 304
101 61 304
102 41 306
103 61 306
104 41 328
105 61 328
106 43 301
107 63 301
108 43 302
109 63 302
10a 43 307
10b 63 307
10c 43 30c
10d 63 30c
10e 44 30c
10f 64 30c
112 45 304
113 65 304
114 45 306
115 65 306
116 45 307
117 65 307
118 45 328
119 65 328
11a 45 30c
11b 65 30c
11c 47 302
11d 67 302
11e 47 306
11f 67 306
120 47 307
121 67 307
122 47 327
123 67 327
124 48 302
125 68 302
128 49 303
129 69 303
12a 49 304
12b 69 304
12c 49 306
12d 69 306
12e 49 328
12f 69 328
130 49 307
132 49 4a
133 69 6a
134 4a 302
135 6a 302
136 4b 327
137 6b 327
139 4c 301
13a 6c 301
13b 4c 327
13c 6c 327
13d 4c 30c
13e 6c 30c
13f 4c b7
140 6c b7
143 4e 301
144 6e 301
145 4e 327
146 6e 327
147 4e 30c
148 6e 30c
149 6e 2bc
14c 4f 304
14d 6f 304
14e 4f 306
14f 6f 306
150 4f 30b
151 6f 30b
154 52 301
155 72 301
156 52 327
157 72 327
158 52 30c
159 72 30c
15a 53 301
15b 73 301
15c 53 302
15d 73 302
15e 53 327
15f 73 327
160 53 30c
161 73 30c
162 54 327
163 74 327
164 54 30c
165 74 30c
168 55 303
169 75 303
16a 55 304
16b 75 304
16c 55 306
16d 75 306
16e 55 30a
16f 75 30a
170 55 30b
171 75 30b
172 55 328
173 75 328
174 57 302
175 77 302
176 59 302
177 79 302
178 59 308
179 5a 301
17a 7a 301
17b 5a 307
17c 7a 307
17d 5a 30c
17e 7a 30c
17f 73
1a0 4f 31b
1a1 6f 31b
1af 55 31b
1b0 75 31b
1c4 44 5a 30c
1c5 44 7a 30c
1c6 64 7a 30c
1c7 4a 4c
1c8 4c 6a
1c9 6a 6c
1ca 4a 4e
1cb 4e 6a
1cc 6a 6e
1cd 41 30c
1ce 61 30c
1cf 49 30c
1d0 69 30c
1d1 4f 30c
1d2 6f 30c
1d3 55 30c
1d4 75 30c
1d5 55 304 308
1d6 75 304 308
1d7 55 301 308
1d8 75 301 308
